year,imdb,title,test,clean_test,binary,budget_2013$,domgross_2013$,intgross_2013$,code
2013,tt2226417,Insidious: Chapter 2,men,men,FAIL,5000000,83586447,161911222,2013FAIL
2013,tt1300854,Iron Man 3,dubious-disagree,dubious,FAIL,200000000,408992272,1212692272,2013FAIL
2013,tt1351685,Jack the Giant Slayer,nowomen-disagree,nowomen,FAIL,195000000,65187603,197387603,2013FAIL
2013,tt1650554,Kick-Ass 2,ok,ok,PASS,28000000,28795985,60839197,2013PASS
2013,tt1204975,Last Vegas,notalk,notalk,FAIL,28000000,63914167,112914167,2013FAIL
2013,tt1327773,Lee Daniels&#39; The Butler,ok,ok,PASS,30000000,116632095,151513429,2013PASS
2013,tt2002718,Machete Kills,ok,ok,PASS,2000000,8008161,9408161,2013PASS
2013,tt2023587,Mama,ok,ok,PASS,15000000,71628180,148041253,2013PASS
2013,tt0770828,Man of Steel,ok-disagree,ok,PASS,225000000,291045518,687999518,2013PASS
2013,tt1821549,Nebraska,ok-disagree,ok,PASS,12000000,17482517,17482517,2013PASS
2013,tt1670345,Now You See Me,notalk-disagree,notalk,FAIL,75000000,117723989,351723989,2013FAIL
2013,tt1483013,Oblivion,men-disagree,men,FAIL,120000000,89107235,287537983,2013FAIL
2013,tt2302755,Olympus Has Fallen,notalk,notalk,FAIL,70000000,98927592,150562164,2013FAIL
2013,tt1623205,Oz the Great and Powerful,ok-disagree,ok,PASS,200000000,234770996,489570996,2013PASS
2013,tt1663662,Pacific Rim,notalk-disagree,notalk,FAIL,190000000,101802906,411002906,2013FAIL
2013,tt1980209,Pain &amp; Gain,notalk,notalk,FAIL,26000000,49875291,81275291,2013FAIL
2013,tt1904996,Parker,ok,ok,PASS,35000000,17616641,46346651,2013PASS
2013,tt1699755,Peeples,dubious,dubious,FAIL,15000000,9177065,9177065,2013FAIL
2013,tt1854564,Percy Jackson: Sea of Monsters,ok,ok,PASS,90000000,68559554,200859554,2013PASS
2013,tt1392214,Prisoners,ok,ok,PASS,46000000,61002302,113402302,2013PASS
2013,tt0790736,R.I.P.D.,notalk,notalk,FAIL,130000000,33618855,79019947,2013FAIL
2013,tt1821694,Red 2,ok,ok,PASS,84000000,53262560,137162560,2013PASS
2013,tt1411250,Riddick,notalk-disagree,notalk,FAIL,38000000,42025135,92425135,2013FAIL
2013,tt2364841,Runner Runner,nowomen,nowomen,FAIL,30000000,19316646,62616646,2013FAIL
2013,tt1979320,Rush,notalk,notalk,FAIL,38000000,26947624,43047624,2013FAIL
2013,tt1702439,Safe Haven,ok,ok,PASS,28000000,71399120,93943623,2013PASS
2013,tt2140373,Saving Mr. Banks,ok,ok,PASS,35000000,82834332,100734332,2013PASS
2013,tt2053463,Side Effects,ok,ok,PASS,30000000,32172757,60288363,2013PASS
2013,tt1408101,Star Trek Into Darkness,notalk-disagree,notalk,FAIL,190000000,228778661,466978661,2013FAIL
2013,tt1572315,Texas Chainsaw 3D,ok-disagree,ok,PASS,20000000,34341945,39093317,2013PASS
2013,tt1931435,The Big Wedding,ok,ok,PASS,32500000,21819348,35770721,2013PASS
2013,tt0816442,The Book Thief,ok,ok,PASS,19000000,21345525,62045525,2013PASS
2013,tt1911644,The Call,ok,ok,PASS,13000000,51872378,58938768,2013PASS
2013,tt1457767,The Conjuring,ok,ok,PASS,20000000,137400141,318000141,2013PASS
2013,tt2193215,The Counselor,ok,ok,PASS,25000000,16973715,70373715,2013PASS
2013,tt0481499,The Croods,men-disagree,men,FAIL,135000000,187168425,573068425,2013FAIL
2013,tt2404311,The Family,men,men,FAIL,30000000,36918811,51078541,2013FAIL
2013,tt1837703,The Fifth Estate,notalk,notalk,FAIL,26000000,3254172,6154172,2013FAIL
2013,tt2005374,The Frozen Ground,nowomen-disagree,nowomen,FAIL,19200000,#N/A,#N/A,2013FAIL
2013,tt1343092,The Great Gatsby,dubious,dubious,FAIL,190000000,144840419,351040419,2013FAIL
2013,tt1951261,The Hangover part 3,men,men,FAIL,103000000,112200072,362000072,2013FAIL
2013,tt2404463,The Heat,ok,ok,PASS,43000000,159581587,230781587,2013PASS
2013,tt1170358,The Hobbit: The Desolation of Smaug,notalk-disagree,notalk,FAIL,250000000,257397516,937397516,2013FAIL
2013,tt1517260,The Host,dubious-disagree,dubious,FAIL,50000000,26623701,58188384,2013FAIL
2013,tt1951264,The Hunger Games: Catching Fire,ok,ok,PASS,130000000,424088260,857088260,2013PASS
2013,tt0790628,The Incredible Burt Wonderstone,notalk,notalk,FAIL,32000000,22537881,24255957,2013FAIL
2013,tt2234155,The Internship,notalk,notalk,FAIL,58000000,44672764,93672764,2013FAIL
2013,tt2034139,The Last Exorcism Part II,ok,ok,PASS,4000000,15179303,18541236,2013PASS
2013,tt1210819,The Lone Ranger,notalk,notalk,FAIL,275000000,89289910,259989910,2013FAIL
2013,tt1538403,The Mortal Instruments: City of Bones,ok-disagree,ok,PASS,60000000,31165421,75965567,2013PASS
2013,tt2184339,The Purge,dubious,dubious,FAIL,3000000,64473115,91100541,2013FAIL
2013,tt2017020,The Smurfs 2,ok,ok,PASS,110000000,71017784,348545841,2013PASS
2013,tt1758795,The To Do List,ok,ok,PASS,1500000,3491669,3491669,2013PASS
2013,tt1727388,The Way Way Back,ok-disagree,ok,PASS,5000000,21502690,26161443,2013PASS
2013,tt0993846,The Wolf of Wall Street,notalk-disagree,notalk,FAIL,100000000,115702857,365702857,2013FAIL
2013,tt1430132,The Wolverine,ok,ok,PASS,115000000,132556852,416456852,2013PASS
2013,tt1213663,The World&#39;s End,men-disagree,men,FAIL,20000000,26004851,46578821,2013FAIL
2013,tt1245492,This Is the End,notalk,notalk,FAIL,32000000,101470202,126294264,2013FAIL
2013,tt1981115,Thor: The Dark World,dubious-disagree,dubious,FAIL,170000000,204674790,631674790,2013FAIL
2013,tt1924429,Trance,nowomen,nowomen,FAIL,16000000,2322593,22594052,2013FAIL
2013,tt1860353,Turbo,dubious-disagree,dubious,FAIL,135000000,83028130,283828130,2013FAIL
2013,tt1588173,Warm Bodies,men-disagree,men,FAIL,30000000,66380662,116643610,2013FAIL
2013,tt1723121,We&#39;re the Millers,ok,ok,PASS,37000000,150394119,270000119,2013PASS
2013,tt2334879,White House Down,men,men,FAIL,150000000,73103784,205440387,2013FAIL
2013,tt0816711,World War Z,dubious-disagree,dubious,FAIL,190000000,202359711,539559711,2013FAIL
2012,tt1611224,Abraham Lincoln: Vampire Hunter,dubious-disagree,dubious,FAIL,68488103,38068365,116804318,2012FAIL
2012,tt1591479,Act of Valor,nowomen,nowomen,FAIL,12175663,71037735,83704673,2012FAIL
2012,tt1602620,Amour,dubious-disagree,dubious,FAIL,9841994,6837603,26295088,2012FAIL
2012,tt1781769,Anna Karenina,men-disagree,men,FAIL,49717290,13003980,71771007,2012FAIL
2012,tt1024648,Argo,ok-disagree,ok,PASS,45151416,138016721,224540219,2012PASS
2012,tt1440129,Battleship,notalk-disagree,notalk,FAIL,212059460,66190353,308594933,2012FAIL
2012,tt2125435,Beasts of the Southern Wild,dubious-disagree,dubious,FAIL,1826349,12983057,21388640,2012FAIL
2012,tt1758575,Blue Like Jazz,ok,ok,PASS,1217566,603728,603728,2012PASS
2012,tt1217209,Brave,ok,ok,PASS,187708135,240755653,562725176,2012PASS
2012,tt1308729,Bullet to the Head,nowomen,nowomen,FAIL,55805121,9628746,13760036,2012FAIL
2012,tt1991245,Chernobyl Diaries,notalk,notalk,FAIL,1014639,18384886,38951995,2012FAIL
2012,tt1706593,Chronicle,notalk,notalk,FAIL,12175663,65520463,128935373,2012FAIL
2012,tt1371111,Cloud Atlas,ok,ok,PASS,103493134,27505098,127863295,2012PASS
2012,tt1524137,Contraband,ok,ok,PASS,25365964,67501874,99847390,2012PASS
2012,tt1853728,Django Unchained,notalk-disagree,notalk,FAIL,101463857,165188672,431600549,2012FAIL
2012,tt1907668,Flight,dubious-disagree,dubious,FAIL,31453796,95145068,164140491,2012FAIL
2012,tt1142977,Frankenweenie,nowomen-disagree,nowomen,FAIL,39570904,35804351,82338719,2012FAIL
2012,tt2243973,Hannibal,ok,ok,PASS,88273555,167508980,355225246,2012PASS
2012,tt0837562,Hotel Transylvania,ok,ok,PASS,86244278,150484138,364480509,2012PASS
2012,tt0790724,Jack Reacher,notalk,notalk,FAIL,60878314,81242857,220552732,2012FAIL
2012,tt2106476,Jagten,men,men,FAIL,3500503,697244,697244,2012FAIL
2012,tt0401729,John Carter,ok-disagree,ok,PASS,279025606,74128153,286917566,2012PASS
2012,tt1764234,Killing Them Softly,nowomen,nowomen,FAIL,15219578,15164322,37783896,2012FAIL
2012,tt1707386,Les Miserables,ok-disagree,ok,PASS,65951507,150988132,448493475,2012PASS
2012,tt0454876,Life of Pi,notalk-disagree,notalk,FAIL,121756628,126816653,616887080,2012FAIL
2012,tt0443272,Lincoln,ok-disagree,ok,PASS,65951507,184875236,276997302,2012PASS
2012,tt1277953,Madagascar 3: Europe&#39;s Most Wanted,men-disagree,men,FAIL,147122592,219559143,757855127,2012FAIL
2012,tt1409024,Men in Black III,notalk,notalk,FAIL,218147292,181641463,633967639,2012FAIL
2012,tt1667353,Mirror Mirror,dubious,dubious,FAIL,86244278,65885725,171080229,2012FAIL
2012,tt1748122,Moonrise Kingdom,ok,ok,PASS,16234217,46178703,64949517,2012PASS
2012,tt2094064,Much Ado About Nothing,dubious-disagree,dubious,FAIL,8117109,22879428,22879428,2012FAIL
2012,tt1598828,One for the Money,ok,ok,PASS,42614820,26801198,36727096,2012PASS
2012,tt2109184,Paranormal Activity 4,ok,ok,PASS,5073193,54689359,144884139,2012PASS
2012,tt1623288,ParaNorman,notalk-disagree,notalk,FAIL,60878314,56822855,109742304,2012FAIL
2012,tt1047540,Parental Guidance,ok,ok,PASS,25365964,78398378,121927729,2012PASS
2012,tt1716777,People Like Us,ok,ok,PASS,16234217,12613776,12613776,2012PASS
2012,tt1981677,Pitch Perfect,ok,ok,PASS,17248856,65952616,117019460,2012PASS
2012,tt1547234,Premium Rush,ok,ok,PASS,35512350,20572249,31852752,2012PASS
2012,tt1234719,Red Dawn,notalk-disagree,notalk,FAIL,65951507,45462690,48869204,2012FAIL
2012,tt0485985,Red Tails,men,men,FAIL,58849037,50606496,51102777,2012FAIL
2012,tt1446192,Rise of the Guardians,notalk-disagree,notalk,FAIL,147122592,104926572,311393491,2012FAIL
2012,tt1336608,Rock of Ages,ok,ok,PASS,71024700,39082470,50852278,2012PASS
2012,tt1656190,Safe,notalk-disagree,notalk,FAIL,33483073,17393015,42102643,2012FAIL
2012,tt1862079,Safety Not Guaranteed,ok-disagree,ok,PASS,760979,4069672,4477791,2012PASS
2012,tt1931533,Seven Psychopaths,notalk-disagree,notalk,FAIL,13697621,15243980,23836212,2012FAIL
2012,tt0938330,Silent Hill: Revelation 3D,ok,ok,PASS,20292771,17786836,48646439,2012PASS
2012,tt1045658,Silver Linings Playbook,ok,ok,PASS,21307410,134026609,230644998,2012PASS
2012,tt1922777,Sinister,men,men,FAIL,3043916,48790826,89012016,2012FAIL
2012,tt1074638,Skyfall,dubious-disagree,dubious,FAIL,202927713,308815675,1124923772,2012FAIL
2012,tt1735898,Snow White and the Huntsman,ok,ok,PASS,172488556,157407735,406779965,2012PASS
2012,tt1876451,Sparkle,ok,ok,PASS,10146386,24754613,25021315,2012PASS
2012,tt2101441,Spring Breakers,ok,ok,PASS,5073193,14331045,31118489,2012PASS
2012,tt1800741,Step Up Revolution,ok,ok,PASS,33483073,35588120,167975738,2012PASS
2012,tt1874789,Supporting Characters,men,men,FAIL,60878,4989,4989,2012FAIL
2012,tt1637725,Ted,men-disagree,men,FAIL,50731928,221866693,557487654,2012FAIL
2012,tt1232200,That&#39;s My Boy,notalk,notalk,FAIL,68488103,37471707,58908258,2012FAIL
2012,tt0948470,The Amazing Spider-Man,men-disagree,men,FAIL,223220484,265866416,768984693,2012FAIL
2012,tt0848228,The Avengers,notalk,notalk,FAIL,60878314,23727745,49296637,2012FAIL
2012,tt1345836,The Dark Knight Rises,notalk-disagree,notalk,FAIL,279025606,454699213,1095143990,2012FAIL
2012,tt1560985,The Devil Inside,ok-disagree,ok,PASS,1014639,54041622,103248087,2012PASS
2012,tt1645170,The Dictator,notalk,notalk,FAIL,65951507,60523416,182005391,2012FAIL
2012,tt1764651,The Expendables 2,ok-disagree,ok,PASS,101463857,86272883,316546185,2012PASS
2012,tt1601913,The Grey,nowomen-disagree,nowomen,FAIL,25365964,52335195,85574308,2012FAIL
2012,tt0903624,The Hobbit: An Unexpected Journey,nowomen-disagree,nowomen,FAIL,253659641,307439106,1029557373,2012FAIL
2012,tt1392170,The Hunger Games,ok-disagree,ok,PASS,81171085,413983383,694530947,2012PASS
2012,tt1649419,The Impossible,men,men,FAIL,40585543,19298306,172073169,2012FAIL
2012,tt1258972,The Man with the Iron Fists,notalk,notalk,FAIL,15219578,15862951,22306925,2012FAIL
2012,tt1560747,The Master,notalk-disagree,notalk,FAIL,38048946,16484994,25484413,2012FAIL
2012,tt1430626,The Pirates! Band of Misfits,notalk,notalk,FAIL,55805121,31505670,124857587,2012FAIL
2012,tt1817273,The Place Beyond the Pines,notalk-disagree,notalk,FAIL,15219578,21716836,47699629,2012FAIL
2012,tt1673434,The Twilight Saga: Breaking Dawn - Part 2,dubious-disagree,dubious,FAIL,138193773,296603952,844848985,2012FAIL
2012,tt1606389,The Vow,ok,ok,PASS,8866236,126844056,200511006,2012PASS
2012,tt1298649,The Watch,men,men,FAIL,55805121,34855879,68338951,2012FAIL
2012,tt1596365,The Woman in Black,notalk,notalk,FAIL,15219578,55128651,130843627,2012FAIL
2012,tt1840417,The Words,notalk,notalk,FAIL,6087831,11663106,12310182,2012FAIL
2012,tt1621045,Think Like a Man,ok,ok,PASS,12175663,92887325,97562697,2012PASS
2012,tt1859650,To Rome With Love,men-disagree,men,FAIL,21814729,16928587,75452356,2012FAIL
2012,tt1386703,Total Recall,notalk-disagree,notalk,FAIL,126829821,59739858,201523449,2012FAIL
2012,tt1496025,Underworld: Awakening,ok,ok,PASS,71024700,63233330,162727662,2012PASS
2012,tt1655460,Wanderlust,ok,ok,PASS,32975753,17541229,24513601,2012PASS
2012,tt1586265,What to Expect When You&#39;re Expecting,ok,ok,PASS,38048946,41754612,81832836,2012PASS
2012,tt1870529,Won&#39;t Back Down,ok,ok,PASS,19278133,5388293,5510995,2012PASS
2012,tt1646987,Wrath of the Titans,notalk-disagree,notalk,FAIL,152195785,84894893,306390492,2012FAIL
2012,tt1772341,Wreck-It Ralph,ok-disagree,ok,PASS,167415363,192185407,480342759,2012PASS
2012,tt1790885,Zero Dark Thirty,ok-disagree,ok,PASS,53268525,97121930,139736750,2012PASS
2011,tt1622547,30 Minutes or Less,notalk,notalk,FAIL,28999342,38376408,42428850,2011FAIL
2011,tt1306980,50/50,men-disagree,men,FAIL,8285526,36265871,42810004,2011FAIL
2011,tt1571222,A Dangerous Method,dubious,dubious,FAIL,20713816,5905595,15336023,2011FAIL
2011,tt1422136,A Lonely Place to Die,ok,ok,PASS,4142763,#N/A,458345,2011PASS
2011,tt1268799,A Very Harold &amp; Kumar 3D Christmas,notalk,notalk,FAIL,20713816,36312387,37560098,2011FAIL
2011,tt1549572,Another Earth,ok,ok,PASS,181246,1368348,1844766,2011PASS
2011,tt1772240,Apollo 18,nowomen,nowomen,FAIL,5178454,18318189,27464261,2011FAIL
2011,tt1430607,Arthur Christmas,notalk,notalk,FAIL,88033717,48120751,152893489,2011FAIL
2011,tt1478964,Attack the Block,ok-disagree,ok,PASS,13463980,1060729,5599381,2011PASS
2011,tt1284575,Bad Teacher,ok-disagree,ok,PASS,19678125,103872387,224136189,2011PASS
2011,tt1217613,Battle: Los Angeles,notalk-disagree,notalk,FAIL,72498355,86534481,219571833,2011FAIL
2011,tt1152398,Beastly,notalk,notalk,FAIL,17606743,28860115,39385487,2011FAIL
2011,tt1629705,Blackthorn,notalk,notalk,FAIL,4660609,207716,1294370,2011FAIL
2011,tt1478338,Bridesmaids,ok-disagree,ok,PASS,33659951,175142277,299587165,2011PASS
2011,tt0458339,Captain America: The First Avenger,notalk-disagree,notalk,FAIL,144996710,182959443,383795703,2011FAIL
2011,tt1216475,Cars 2,men,men,FAIL,207138157,198283907,580147769,2011FAIL
2011,tt1684628,Circumstance,ok,ok,PASS,932122,470329,470329,2011PASS
2011,tt1657507,Colombiana,notalk,notalk,FAIL,41427631,37974487,74257040,2011FAIL
2011,tt0816462,Conan the Barbarian,dubious-disagree,dubious,FAIL,20713816,39629760,81937729,2011FAIL
2011,tt1598778,Contagion,ok-disagree,ok,PASS,62141447,78358394,142460919,2011PASS
2011,tt1372686,Coriolanus,men,men,FAIL,10356908,776396,1087104,2011FAIL
2011,tt0409847,Cowboys &amp; Aliens,notalk,notalk,FAIL,168817598,103818215,182188693,2011FAIL
2011,tt1701990,Detention,ok,ok,PASS,10356908,#N/A,#N/A,2011PASS
2011,tt1650043,Diary of a Wimpy Kid: Rodrick Rules,notalk,notalk,FAIL,18642434,54579387,76325433,2011FAIL
2011,tt1564349,Dolphin Tale,men,men,FAIL,38320559,74866751,99497492,2011FAIL
2011,tt1462041,Dream House,ok,ok,PASS,51784539,22062637,41357557,2011PASS
2011,tt0780504,Drive,dubious-disagree,dubious,FAIL,15535362,36312033,80840663,2011FAIL
2011,tt1596343,Fast Five,ok-disagree,ok,PASS,129461348,217326947,652320815,2011PASS
2011,tt1622979,Final Destination 5,men,men,FAIL,41427631,44107629,163522777,2011FAIL
2011,tt1068242,Footloose,ok,ok,PASS,24856579,53651623,65676025,2011PASS
2011,tt1438176,Fright Night,dubious,dubious,FAIL,31070724,18951742,41966863,2011FAIL
2011,tt1133985,Green Lantern,notalk-disagree,notalk,FAIL,207138157,120762760,239452924,2011FAIL
2011,tt0480687,Hall Pass,men,men,FAIL,37284868,46668987,86680344,2011FAIL
2011,tt0993842,Hanna,ok,ok,PASS,31070724,41695999,67675862,2011PASS
2011,tt1201607,Harry Potter and the Deathly Hallows: Part 2,notalk-disagree,notalk,FAIL,129461348,394609809,1375512553,2011FAIL
2011,tt1506999,Haywire,nowomen-disagree,nowomen,FAIL,23820888,19618465,22967676,2011FAIL
2011,tt1403177,Hesher,notalk,notalk,FAIL,7249836,396614,396614,2011FAIL
2011,tt1562568,Higher Ground,ok,ok,PASS,1864243,871074,889847,2011PASS
2011,tt1640459,Hobo with a Shotgun,nowomen,nowomen,FAIL,3107072,728476,864753,2011FAIL
2011,tt1411704,Hop,men,men,FAIL,65248520,111942955,191524428,2011FAIL
2011,tt1499658,Horrible Bosses,ok,ok,PASS,36249178,121733603,222195609,2011PASS
2011,tt0970179,Hugo,dubious,dubious,FAIL,186424342,76500789,191637196,2011FAIL
2011,tt1464540,I Am Number Four,notalk,notalk,FAIL,51784539,57067015,151193038,2011FAIL
2011,tt1253864,Immortals,men,men,FAIL,77676809,86484341,219113265,2011FAIL
2011,tt1637688,In Time,notalk,notalk,FAIL,36249178,38894261,176134406,2011FAIL
2011,tt1606618,Iris,ok,ok,PASS,5696299,5779651,15695916,2011PASS
2011,tt1410063,Jin ling shi san chai,ok,ok,PASS,103569079,322549,97066426,2011PASS
2011,tt1634122,Johnny English Reborn,dubious,dubious,FAIL,46606085,8602417,170412210,2011FAIL
2011,tt1640484,Jumping the Broom,ok,ok,PASS,7249836,38626496,39520511,2011PASS
2011,tt1564367,Just Go with It,dubious,dubious,FAIL,82855263,106705263,222647578,2011FAIL
2011,tt1788391,Kill List,dubious,dubious,FAIL,828553,30100,478703,2011FAIL
2011,tt1448755,Killer Elite,nowomen,nowomen,FAIL,72498355,26021717,59839216,2011FAIL
2011,tt1302011,Kung Fu Panda 2,ok,ok,PASS,155353618,171146932,688566122,2011PASS
2011,tt1508675,Le Havre,dubious,dubious,FAIL,5696299,633541,13961315,2011FAIL
2011,tt1758692,Like Crazy,ok-disagree,ok,PASS,258923,3516575,3864669,2011PASS
2011,tt1219289,Limitless,notalk,notalk,FAIL,27963651,82077930,175797590,2011FAIL
2011,tt0466893,Margaret,ok,ok,PASS,14499671,48869,48869,2011PASS
2011,tt1615147,Margin Call,notalk-disagree,notalk,FAIL,3521349,5544660,18510079,2011FAIL
2011,tt1305591,Mars Needs Moms,dubious,dubious,FAIL,155353618,22156282,40961320,2011FAIL
2011,tt1441326,Martha Marcy May Marlene,ok,ok,PASS,1035691,3087434,3657064,2011PASS
2011,tt1527186,Melancholia,ok,ok,PASS,9735493,3139021,18688080,2011PASS
2011,tt1605783,Midnight in Paris,ok,ok,PASS,31070724,58844493,160342190,2011PASS
2011,tt1229238,Mission: Impossible - Ghost Protocol,notalk-disagree,notalk,FAIL,150175164,216871479,719508092,2011FAIL
2011,tt1210166,Moneyball,notalk,notalk,FAIL,51784539,78303911,115142275,2011FAIL
2011,tt1396218,Mr. Popper&#39;s Penguins,notalk,notalk,FAIL,56962993,70659436,196392298,2011FAIL
2011,tt1598822,New Year&#39;s Eve,ok,ok,PASS,26927960,56491379,148791377,2011PASS
2011,tt1411238,No Strings Attached,ok,ok,PASS,25892270,73184210,154554145,2011PASS
2011,tt1720182,October Baby,ok,ok,PASS,1035691,5547001,5547001,2011PASS
2011,tt1637706,Our Idiot Brother,ok,ok,PASS,5178454,25700491,26784257,2011PASS
2011,tt1778304,Paranormal Activity 3,ok,ok,PASS,5178454,107741677,214429259,2011PASS
2011,tt1092026,Paul,ok,ok,PASS,41427631,38748242,103755310,2011PASS
2011,tt1298650,Pirates of the Caribbean: On Stranger Tides,notalk,notalk,FAIL,258922697,249667634,1080913060,2011FAIL
2011,tt0822847,Priest,notalk-disagree,notalk,FAIL,62141447,30176535,87157549,2011FAIL
2011,tt0448694,Puss in Boots,notalk,notalk,FAIL,134639802,154587729,574795417,2011FAIL
2011,tt1192628,Rango,notalk-disagree,notalk,FAIL,139818256,127656741,254266825,2011FAIL
2011,tt0433035,Real Steel,notalk,notalk,FAIL,113925987,88513562,303703179,2011FAIL
2011,tt1486185,Red Riding Hood,ok,ok,PASS,43499013,39006354,93523336,2011PASS
2011,tt0873886,Red State,ok,ok,PASS,4142763,1103455,1103455,2011PASS
2011,tt1498569,Restless,ok,ok,PASS,8285526,169597,2918985,2011PASS
2011,tt1436562,Rio,notalk,notalk,FAIL,93212171,148745713,504919774,2011FAIL
2011,tt1318514,Rise of the Planet of the Apes,notalk,notalk,FAIL,96319243,183068895,500093845,2011FAIL
2011,tt1723811,Shame,notalk,notalk,FAIL,6731990,4145138,11166495,2011FAIL
2011,tt1541995,Snow Flower and the Secret Fan,ok,ok,PASS,6214145,1396324,11753231,2011PASS
2011,tt1596346,Soul Surfer,ok,ok,PASS,18642434,45418587,48841781,2011PASS
2011,tt0945513,Source Code,notalk-disagree,notalk,FAIL,33142105,56664949,145440503,2011FAIL
2011,tt0999913,Straw Dogs,ok,ok,PASS,25892270,10692928,11655479,2011PASS
2011,tt0978764,Sucker Punch,ok-disagree,ok,PASS,77676809,37691379,92961937,2011PASS
2011,tt1650062,Super 8,ok-disagree,ok,PASS,51784539,131537058,269379017,2011PASS
2011,tt1675192,Take Shelter,ok,ok,PASS,4919531,1790661,3240628,2011PASS
2011,tt1385826,The Adjustment Bureau,dubious-disagree,dubious,FAIL,51991677,64726164,132354553,2011FAIL
2011,tt0983193,The Adventures of Tintin,notalk,notalk,FAIL,134639802,80361144,387342089,2011FAIL
2011,tt1655442,The Artist,notalk-disagree,notalk,FAIL,16571053,46261299,132834295,2011FAIL
2011,tt1412386,The Best Exotic Marigold Hotel,ok,ok,PASS,10356908,48039108,139537943,2011PASS
2011,tt1259521,The Cabin in the Woods,dubious-disagree,dubious,FAIL,31070724,43574905,73293915,2011FAIL
2011,tt1093357,The Darkest Hour,ok,ok,PASS,36042039,22208829,65074228,2011PASS
2011,tt1535616,The Divide,ok,ok,PASS,3107072,18642,18642,2011PASS
2011,tt1235170,The Future,ok,ok,PASS,1035691,588958,588958,2011PASS
2011,tt1568346,The Girl with the Dragon Tattoo,notalk-disagree,notalk,FAIL,93212171,106174662,241492267,2011FAIL
2011,tt0990407,The Green Hornet,notalk,notalk,FAIL,113925987,102305579,236120048,2011FAIL
2011,tt1540133,The Guard,notalk,notalk,FAIL,6214145,5551069,16513705,2011FAIL
2011,tt1454029,The Help,ok,ok,PASS,25892270,175762513,220726425,2011PASS
